,users,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,1,,,,,,,-9.281,-9.281,,,,,-6.781000000000001,,0.875,-9.656,-9.031,-7.468999999999999,-8.719,-9.156,-7.188,-8.781,-8.531,-7.906000000000001,-7.468999999999999,0.031,8.781,,8.781,,8.781,8.781,,-0.25,8.781,8.781,,,,,,0.062,,,,,,,0.062,9.906,0.062,0.062,8.781,8.687999999999999,,,,,,,0.031,0.21899999999999997,,,8.781,8.687999999999999,,-0.125,8.687999999999999,,,8.781,,,,9.312000000000001,,,,0.062,0.125,,8.781,,,,8.0,,9.812000000000001,,8.781,3.625,9.312000000000001,,,,,,,
2,2,,,,,-9.687999999999999,,9.937999999999999,9.531,,,,,9.937999999999999,,0.406,3.719,9.656,-2.688,-9.562000000000001,-9.125,9.844,,,,,9.937999999999999,9.781,9.812000000000001,9.906,3.125,5.5,-4.25,,,5.125,9.844,,,,,,,,,,,,9.281,4.968999999999999,9.937999999999999,,,8.0,-4.312,,,,,,,-0.7809999999999999,4.75,,,3.688,-2.125,,,-5.0,,,4.781000000000001,,,,,,,,,-0.312,,3.938,,,,,,9.562000000000001,,,,,,,,,,,
3,3,,,,,-9.844,,-9.844,-7.218999999999999,,,,,-2.031,,-9.937999999999999,-9.969,-9.875,-9.812000000000001,-9.781,-6.843999999999999,,,,,,,,,,,,,-9.812000000000001,-9.781,,,-9.812000000000001,0.062,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,6.906000000000001,,4.75,-5.906000000000001,,,,,-0.406,,-4.031000000000001,3.875,6.218999999999999,5.656000000000001,6.093999999999999,5.406000000000001,6.375,7.031000000000001,0.094,,0.9059999999999999,4.188,0.43799999999999994,2.281,1.188,0.281,3.219,4.906000000000001,,0.531,3.812,4.468999999999999,,2.812,4.812,0.25,4.438,5.562,6.093999999999999,0.5,3.969,5.781000000000001,6.25,0.344,4.281000000000001,1.969,,1.062,2.594,1.188,0.7809999999999999,2.75,,,-0.25,1.8119999999999998,1.6880000000000002,0.625,0.156,,4.906000000000001,0.469,,0.7809999999999999,0.562,0.406,,8.0,3.562,,,7.062,0.875,4.812,,-6.438,3.906,4.156000000000001,2.875,-0.031,0.469,0.344,3.188,6.281000000000001,6.0,-0.25,3.562,6.156000000000001,4.375,2.5,5.75,7.718999999999999,3.906,0.8440000000000001,0.469,0.594
6,6,,,,,-0.031,,-9.094,-0.406,,,,,7.5,,-7.218999999999999,-9.437999999999999,0.125,-9.156,3.656,-9.437999999999999,7.906000000000001,,,,,,-9.062000000000001,,6.062,,5.968999999999999,,,,8.406,8.125,,,,,,,,,-9.437999999999999,4.406000000000001,-8.281,,,-5.562,-8.125,-4.812,3.844,,,,,,,,,,,,-5.406000000000001,,,,,,,-7.5,,,,,,,,,,,-7.5,,,,,,-5.093999999999999,,,,,,,,,,,
7,7,,,,,-2.906,,-2.344,-0.5,,,,,-0.9690000000000001,,2.25,0.406,0.875,0.406,1.4380000000000002,-0.031,1.344,,,,,,1.625,,2.625,,-0.9690000000000001,1.969,,,1.8119999999999998,1.969,,,,,,0.21899999999999997,,,,,,0.5,2.438,1.8119999999999998,,,1.531,-0.125,0.875,1.719,0.9690000000000001,-0.312,0.312,0.406,1.4380000000000002,1.969,,,-0.406,1.531,,1.344,4.188,,,1.719,,,,1.062,,1.4380000000000002,,,,,0.5,,,,1.062,0.125,3.281,,1.25,,2.438,,,0.5,2.344,,,
8,8,,,,,6.218999999999999,,-7.438,-0.812,,,,,-3.438,,0.531,0.531,2.344,-2.219,-4.531000000000001,2.281,5.718999999999999,7.093999999999999,0.688,1.281,3.688,4.125,6.062,-1.969,6.75,0.062,5.718999999999999,-0.875,0.062,-3.312,0.031,0.406,1.281,3.844,4.875,-3.0,0.062,5.718999999999999,0.062,1.281,-0.125,4.125,-4.75,-1.8119999999999998,2.969,4.0,0.062,6.093999999999999,7.25,3.625,0.562,5.875,1.281,1.281,0.062,-0.8440000000000001,5.718999999999999,7.625,-1.0,-4.406000000000001,5.718999999999999,0.531,2.125,3.188,4.875,1.969,-3.562,3.719,-1.0,1.281,0.062,5.343999999999999,0.531,-2.281,0.062,2.594,5.188,-1.0,3.312,-1.0,3.469,1.094,8.375,5.188,3.75,-6.406000000000001,8.375,3.531,5.093999999999999,-2.219,-4.75,4.531000000000001,5.906000000000001,8.781,0.062,6.156000000000001
9,9,,,,,8.25,,9.0,8.875,,,,,9.75,,9.375,9.219,9.031,8.844,-9.531,-5.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,-5.75,,0.281,0.7809999999999999,,,,,8.281,,3.594,-3.844,0.8440000000000001,-6.312,3.375,6.593999999999999,5.5,2.469,-3.281,-5.156000000000001,1.188,1.062,-1.406,1.406,0.75,1.281,-6.188,9.531,0.375,-2.062,1.219,8.125,-0.688,3.219,2.75,3.688,2.406,-1.75,1.656,-0.156,5.843999999999999,-0.594,0.6559999999999999,1.375,0.7190000000000001,6.75,-1.9380000000000002,0.0,6.75,2.688,-3.438,-0.094,0.43799999999999994,-1.188,1.781,-2.031,1.0,9.219,7.593999999999999,-1.719,4.125,8.437999999999999,-1.9380000000000002,-0.21899999999999997,2.406,3.0,2.656,2.188,0.156,-1.469,1.062,1.875,1.156,1.906,-1.3119999999999998,4.75,-0.812,5.468999999999999,1.031,2.125,-0.156,1.469,2.219,-0.375,6.688,5.781000000000001,6.688,2.344,1.875,2.031,1.75,2.0,2.625,-2.312,2.125,1.875
11,11,,,,,-7.156000000000001,,-5.906000000000001,-0.094,,,,,-5.5,,-6.0,0.25,3.438,-0.375,5.062,3.719,,,,,,,3.688,,,,,3.781,,,2.5,3.375,,,,,,,,,,,,,,4.75,,,,,,,,,,,,3.219,,,,3.938,-2.75,,,,3.562,,,0.094,2.188,,,,,,,,,,,,,,3.031,,,,0.156,,,,,,,
12,12,,,,,-5.188,,1.5,6.218999999999999,,,,,2.875,,-2.719,-6.938,-0.188,6.5,9.937999999999999,-0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,-9.312000000000001,,-9.375,-9.437999999999999,,,,,-1.875,,-2.156,-8.875,-7.968999999999999,-8.0,-8.344,-8.844,-3.75,-1.125,-6.688,,-5.343999999999999,1.5,-1.469,-6.062,-7.0,-8.375,2.25,3.344,,1.969,-6.438,2.219,,-6.25,-0.562,-7.375,,2.812,-7.625,,1.031,4.093999999999999,-6.031000000000001,-7.625,2.875,0.875,-6.781000000000001,-7.343999999999999,4.625,2.594,-1.9380000000000002,-7.468999999999999,,,,,3.531,2.094,-7.812,,0.031,-3.844,,3.094,1.5619999999999998,-6.781000000000001,,-3.719,-0.7809999999999999,,-6.375,-3.031,-6.781000000000001,-0.375,-7.812,0.094,1.75,-7.968999999999999,-7.093999999999999,-7.438,-8.0,-7.812,3.156,0.594,3.094,-6.938,0.9059999999999999,-2.188,3.281,-7.375,-3.031,0.8440000000000001,-7.343999999999999,-7.218999999999999,-6.375,-7.438
14,14,,,,,-5.0,,-3.906,-3.719,,,,,0.0,,-0.938,-0.875,-1.8119999999999998,-3.375,-0.531,-0.43799999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.062,,,,,,,,,,,,,,,-2.031,,,,,,,,,,,,,,,,,,,,,
16,16,,,,,0.469,,-9.937999999999999,1.5619999999999998,,,,,-9.906,,-9.937999999999999,-8.937999999999999,4.562,-9.969,-9.875,-9.937999999999999,0.281,-8.875,-8.875,-9.031,-9.375,-9.687999999999999,4.625,2.531,-9.844,-9.781,9.937999999999999,9.937999999999999,-8.437999999999999,5.531000000000001,2.188,3.406,-9.656,-5.188,-10.0,-5.031000000000001,-6.812,-5.375,-5.375,-8.375,-9.25,-10.0,-8.969,-9.531,2.844,-5.562,-9.906,-8.687999999999999,6.062,-0.188,-4.875,-9.906,-7.281000000000001,-9.906,-7.281000000000001,2.688,-3.5,-9.937999999999999,1.0,-9.437999999999999,3.469,-7.031000000000001,-8.25,-9.437999999999999,-2.0,-4.438,-9.906,2.25,-4.531000000000001,-9.625,8.094,-0.7809999999999999,1.781,-9.031,-9.312000000000001,3.031,9.969,-5.125,4.718999999999999,-9.844,-7.812,-6.875,9.906,-6.312,1.3119999999999998,-9.781,8.437999999999999,-0.094,-10.0,-3.156,-1.719,-0.21899999999999997,9.969,2.656,-4.656000000000001,-9.969
17,17,,,,,6.281000000000001,,8.156,9.937999999999999,,,,,-8.969,,-8.375,-9.844,10.0,0.094,6.718999999999999,10.0,3.438,,,9.656,,,9.937999999999999,,9.281,,-0.156,9.375,,,10.0,9.687999999999999,,5.343999999999999,,,,5.938,,,,,,9.312000000000001,10.0,6.625,,,8.812000000000001,-0.062,,-9.812000000000001,,,,,5.656000000000001,5.125,,,7.968999999999999,8.406,,0.094,0.8440000000000001,,,6.938,,,,2.719,,,,,5.25,,,,,,,-8.156,8.906,,,,-0.031,,,,,,,
18,18,,,,,-0.43799999999999994,,-7.343999999999999,2.375,,,,,-2.281,,-7.75,-4.562,-5.531000000000001,-2.25,-3.531,-7.312,0.156,,,,,,2.594,,-1.062,,,1.219,,,0.0,2.969,,,,,,,,,,,,,2.938,2.0,,,-5.343999999999999,,,,,,,,,0.9690000000000001,,,4.531000000000001,-0.406,,0.75,0.75,,,0.406,,,,,,,,,,,,,,-0.125,,,2.5,-0.125,,2.188,,,6.156000000000001,,,,3.938,
19,19,,,,,-8.906,,-3.719,-6.125,,,,,5.218999999999999,,8.5,4.406000000000001,0.625,1.969,3.5,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.906000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,,,,,6.312,,-2.406,5.468999999999999,,,,,-8.625,,-8.406,-8.25,4.156000000000001,-9.187999999999999,4.5,4.843999999999999,3.969,-5.156000000000001,,,-2.531,5.781000000000001,2.844,-1.094,-4.938,,2.656,4.156000000000001,-5.625,5.281000000000001,9.406,-6.281000000000001,-9.844,2.625,-4.906000000000001,-5.188,-9.156,3.188,,4.312,1.844,-4.125,3.438,-8.437999999999999,-5.656000000000001,-8.156,,,8.344,3.688,,5.75,,,,,-9.219,-9.875,,,-6.875,-0.7190000000000001,,-6.875,5.156000000000001,-0.375,,6.188,5.625,,,-3.219,5.75,-1.656,,7.0,6.781000000000001,-5.218999999999999,6.25,-3.375,-5.281000000000001,,6.625,8.812000000000001,-0.156,,4.343999999999999,4.5,6.438,5.281000000000001,5.906000000000001,5.25,-2.594,2.312,,-4.156000000000001
25,25,,,,,-0.344,,-9.781,-7.062,,,,,0.344,,-8.656,-8.219,2.219,3.219,9.812000000000001,3.719,,,,,,,7.406000000000001,,,,,9.75,,,9.219,-9.5,,,,,,,,,,,,,,8.625,,,,,,,-9.687999999999999,8.656,,,,0.469,,0.125,,9.25,-9.5,9.937999999999999,,,9.75,6.375,,,,-8.969,,,,,,,,,,,8.375,,9.344,,9.625,-6.375,7.0,,,7.312,,,,
26,26,,,,,4.281000000000001,,-4.625,-3.625,,,,,2.906,,-2.188,-2.0,6.093999999999999,-3.5,3.344,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.812,,,,,,,,,,,,,,,,,,,,,,,,,,
